// menu buttons

000 本地游戏
105 教程
001 建立对战主机
002 加入网络对战
003 选项
004 关于
005 退出
006 继续
007 重新开始
008 隐藏菜单
009 回到主菜单

// standard buttons

010 开始
011 取消
012 相关信息
013 关闭
014 许可
015 确定
106 下一步
016 下次仍然显示此信息

// pregame options

017 左队
018 右队
019 左边的AI数
020 右边的AI数
021 AI数量
022 总杀敌数上限
162 行星生命值
056 武器选项
203 武器
204 特殊能力
166 道具生成速率
167 AI强度
159 游戏选项
257 玩家

// story information

023 公元3547年，银河系内的文明都已经定居在了各自的星球上，与环境和平而和谐地共存着。但是在安稳的居住地之外，星际大战正在进行。  \n做为一个赫赫有名的、永远追求着荣耀与繁荣的战士，你必须从贪婪的邻居带来的毁灭的阴影中拯救你的星球！现在就加入星际球战斗吧，你这样的勇士正是为它而降临的！  \n在星际球模式的战斗中，你需要保持这颗死亡之球远离你的星球，并通过使它撞击到敌人的星球上来打败你的对手。
024 你可以通过碰撞或是射击的方式将球推向敌人的星球！

025 星际大战使你失去了一切：家园，家庭，甚至还有你的自尊。  \n在无上荣耀的死亡竞赛的竞技场中做一名角斗士，是你最后的摆脱这种痛苦的机会。  \n与其它的角斗士战斗，通过破坏那些坚果壳般的飞船来赢得分数。  \n\n做好准备！死亡和荣耀都在等着你。
026 尽你所能来击败敌人吧！

027 谈判破裂了！  \n你和你的邻居都不得不承受持久的星际大战所带来的巨大的资源消耗。  \n做为取得上风的最后手段，你奉命毁灭敌人的资源并保护我方的仓库，这就免不了与敌人的小队进行一番殊死搏斗。  \n保护你的战友，毁灭你的敌人！给他们一点颜色瞧瞧，让他们永远记住你的厉害！
028 击败尽可能多的敌人！

029 似乎星际大战并没有让命运的主宰者感到满足——现在，你的星球正遭受着一股新的邪恶力量的威胁：一艘不明身份的侵略者的巨型飞船正在你的星系中游荡，并用一种威力极大的石制武器瞄准了各个文明所依附的星球。  \n做为一种邪恶的嘲讽，飞船的所有者将死亡与恐惧的源泉——武器的控制器——留了下来。抢在敌人之前夺走它，使敌人的家园变成荒凉之地！  \n\n你就是邪恶力量的守卫者。
030 拿起控制器，尽可能避免敌人从你手中夺走它！

206 星际大战严重消耗了星球上的资源，因此科学家们需要找到一种仅仅消耗少量资源却能有效杀伤敌人的方法。最终，经过无数次的实验后，他们终于创造出了一种具有独特性质的新型武器：它可以在一瞬间将敌人杀死，但是射出的子弹却很容易受到万有引力的影响，因此非常难以控制。所以科学家们称之为：引力弹！ \n\n不幸的是，有人偷走了它，于是这项邪恶的技术也落入了敌人的手中。现在，轮到你来大显神威了：在重力井的空间里击败敌人，夺回战斗的上风！\n\n如果能赢得这场战斗的话，星际大战的全局胜利也就指日可待了。
207 尽可能多地打倒敌人！

// display options
// tabs

150 界面
165 游戏
102 视觉效果
103 声音

// interface Options

104 窗口设置
031 显示调试信息
032 AI定向
033 区域
034 AI轨迹
035 显示游戏信息
036 每秒帧数
215 一般设定
152 语言
153 截屏快捷键
054 截屏图片格式
242 统计数据快捷键

// graphics options

037 粒子数目
038 粒子数目
039 粒子周期
040 游戏设置
041 全屏
042 垂直同步
055 显示工具提示
163 阴影效果
164 抱歉，你的硬件不支持阴影效果！
151 高星图分辨率
265 动态背景星图
173 分辨率
174 色深

// gameplay options

216 特殊效果
168 慢动作爆炸数目
169 关闭

// audio options

123 音量设定
043 背景音乐
044 游戏声音
045 游戏旁白
128 切换背景音乐
129 回放设置
261 播放上一首歌曲
262 随机播放

// player options

046 名字
047 加速
048 左转
049 右转
050 武器
175 特殊能力
217 飞船设置
051 飞船型号
052 玩家颜色
053 队伍颜色

// about

057 M.A.R.S.是对用OpenGL和SFML制作游戏的一次尝试。\n这是一个适合最多两人进行的在二维宇宙中飞行的游戏，当然一切都是在重力的影响下进行的(:-P)。\n\n项目主页：\nhttp://www.marsshooter.org

// license

058 本程序为自由软件;您可依据自由软件基金会所发表的GNU通用公共授权条款，对本程序再次发布和/或修改;无论您依据的是本授权的第三版，或(您可选的)任一日后发行的版本。\n\n本程序是基于使用目的而加以发布，然而不负任何担保责任;亦无对适售性或特定目的适用性所为的默示性担保。详情请参照GNU通用公共授权。\n\n您应已收到附随于本程序的GNU通用公共授权的副本;如果没有，请参照http://www.gnu.org/licenses/gpl-3.0.html

// credits

170 贡献者
171 特别感谢：
172 翻译人员：\n 阿拉伯语：Majid\n 简体中文：Wecing\n 捷克语：Mates\n 芬兰语：Paavo\n 法语：Astohan\n 德语：Sandra\n 北印度语：Antriksh & Aakanksh\n 匈牙利语：Papp Bence\n 意大利语： Proch\n 波兰语：command_dos\n 葡萄牙语：Vitor\n 俄语： Drakmail\n 西班牙语：Gastón\n 瑞典语：Henrik\n\n编程支持：\n Werner and Deubeuliou\n\n测试及创意提供：\n Heinrich, Martin, Bastian, Sandra, Diana.

// quit

059 你确定要退出？
060 结束当前游戏？

// network information

061 此项功能暂不支持：M.A.R.S.的互联网和局域网对战功能正在筹备中。\n\n请继续关注我们！
062 此项功能暂不支持：M.A.R.S.的互联网和局域网对战功能正在筹备中。\n\n请继续关注我们！

// hide menu

063 你在一场疯狂的战斗中叫了暂停？\n如果你想截图，这个按钮可以隐藏所有的窗口，从而使你获得一张超豪华的墙纸。\n\n截图完毕之后别忘了按ESC键继续战斗！

// key names

064 加号
065 反斜杠
066 逗号
067 横杠
068 Del
069 除号
070 下
071 End
072 等号
073 Home
074 Insert
075 左Alt
076 左方括号
077 左Ctrl
078 左
079 左Shift
080 左Super
081 菜单键
082 乘号
083 Page Down
084 Page Up
085 Pause
086 句号
087 单引号
088 右Alt
089 右方括号
090 右Ctrl
091 回车键
092 右
093 右Shift
094 右Super
095 分号
096 斜杠
097 空格
098 减号
099 波浪号
100 Tab
101 上

// Joystick button names

218 A
219 B
220 X
221 Y
222 Start
223 Back
224 R1
225 L1
226 R2
227 L2
228 上
229 下
230 左
231 右
232 摇杆1 上
233 摇杆1 下
234 摇杆1 左
235 摇杆1 右
236 摇杆2 上
237 摇杆2 下
238 摇杆2 左
239 摇杆2 右
240 游戏手柄
241 按键


// tutorial texts

212 Hello，{PLAYER1_NAME}!
213 这个名字太烂了……还是换个更好一点的吧。

107 欢迎，太空新生！
108 我们很高兴能召募到你，{PLAYER1_NAME}这样的未来之星加入星际大战！\n但是目前你需要进行一些操作练习。现在就开始吧……

109 基本移动……
110 想要掌握控制飞船的技术，必须先学会移动。\n所有的移动都是在重力定律下进行的。想要减速，唯一的方法是转到反方向，然后加速。操控飞船需要按键<{PLAYER1_KEY_UP}>，<{PLAYER1_KEY_LEFT}>以及<{PLAYER1_KEY_RIGHT}>。

111 热身开始！
112 飞到粉色区域里去！尽量不要撞毁你全新的飞船。

113 干得漂亮，{PLAYER1_NAME}！
114 现在调头回到你的星球去，试着通过在它的重力场的作用下向后慢慢移动来降落。

115 完美！
116 准绝地降落并不像看上去那么简单，是不是？\n你应该试着用心体验。

117 进阶的挑战……
